timestamp,source_file,page,raw_data,ai_01,ai_21,ai_91,ai_92,ai_93,ai_94,ai_95,ai_99,other
31.07.2025 19:52:28,Test_dmr.pdf,стр.47, 0104664056575019215>1.4P91EE1192aZlYU2KW9MQB6APXqb6jiEaQMdUo0OcSzz2uxPy7pOs=,,,EE11,aZlYU2KW9MQB6APXqb6jiEaQMdUo0OcSzz2uxPy7pOs=,,,,, 0:104664056575019215>1.4P
31.07.2025 19:52:28,Test_dmr.pdf,стр.48, 0104664056575019215/n*h991EE1192Rhtf9yz2HgciHwQEqBv+KUBs3Pp9d7ZZpnAEG8qHb28=,,,EE11,Rhtf9yz2HgciHwQEqBv+KUBs3Pp9d7ZZpnAEG8qHb28=,,,,, 0:104664056575019215/n*h9
31.07.2025 19:52:28,Test_dmr.pdf,стр.49, 0104664056575019215gPEDe91EE11925FYI00c0Tm5M8wwCH29GdexrSZHYlMnKSdwvd4z6a6c=,,,EE11,5FYI00c0Tm5M8wwCH29GdexrSZHYlMnKSdwvd4z6a6c=,,,,, 0:104664056575019215gPEDe
31.07.2025 19:52:28,Test_dmr.pdf,стр.50, 0104664056575019215&cqT591EE1192fyjsZX7sggV3UHkSBozFZKig5prjScykwMt6k1kIG3E=,,,EE11,fyjsZX7sggV3UHkSBozFZKig5prjScykwMt6k1kIG3E=,,,,, 0:104664056575019215&cqT5
31.07.2025 19:52:28,Test_dmr.pdf,стр.51, 0104664056575019215sthIC91EE1192H23aw3xYjVTChEwY+gDij8b+mkdNtAycaqCkYO4pe78=,,,EE11,H23aw3xYjVTChEwY+gDij8b+mkdNtAycaqCkYO4pe78=,,,,, 0:104664056575019215sthIC
31.07.2025 19:52:28,Test_dmr.pdf,стр.52, 0104664056575019215O+pYG91EE1192dFlvJxbysRwlNySzo5HVa2LU2iLD2nZjquGpzpbWBzo=,,,EE11,dFlvJxbysRwlNySzo5HVa2LU2iLD2nZjquGpzpbWBzo=,,,,, 0:104664056575019215O+pYG
31.07.2025 19:52:28,Test_dmr.pdf,стр.53, 0104664056575019215zV_DS91EE1192XyTXkxyb5F9JsCJu651ldHK+9/z8pMssVqpgiUyi2Ec=,,,EE11,XyTXkxyb5F9JsCJu651ldHK+9/z8pMssVqpgiUyi2Ec=,,,,, 0:104664056575019215zV_DS
31.07.2025 19:52:28,Test_dmr.pdf,стр.54, 0104664056575019215fc2fq91EE1192wqNz7fyaDQjc2CO5YFVyMVOXSvV8/uAohlxOpoqf95k=,,,EE11,wqNz7fyaDQjc2CO5YFVyMVOXSvV8/uAohlxOpoqf95k=,,,,, 0:104664056575019215fc2fq
31.07.2025 19:52:28,Test_dmr.pdf,стр.55, 01046640565750192153ou2T91EE1192P+SnriA+qLKf2T+3EI4TzLOXtbuc/MZ16F0QSDbKZVQ=,,,EE11,P+SnriA+qLKf2T+3EI4TzLOXtbuc/MZ16F0QSDbKZVQ=,,,,, 0:1046640565750192153ou2T
31.07.2025 19:52:28,Test_dmr.pdf,стр.56, 0104664056575019215hmMqh91EE1192O5V8HkrU3ct+1Uj5hE5Ey208e8PcOnztIbKGFLz9Cfg=,,,EE11,O5V8HkrU3ct+1Uj5hE5Ey208e8PcOnztIbKGFLz9Cfg=,,,,, 0:104664056575019215hmMqh
31.07.2025 19:52:28,Test_dmr.pdf,стр.57, 0104664056575019215onnpD91EE11924QHLkL7CvB29vnHTkbY/IHa/LDdmnNgwzRpkxvB2T3M=,,,EE11,4QHLkL7CvB29vnHTkbY/IHa/LDdmnNgwzRpkxvB2T3M=,,,,, 0:104664056575019215onnpD
